ptr,TOT_ENR_M,TOT_ENR_F,TOT_ENR,Mean_rating
14.870002,1065,924,1989,2.125
15.167353,768,663,1431,3.75
11.189384,390,316,706,4
14.682177,1687,1638,3325,3.875
12.439658,185,174,359,3.875
13.94405,1005,915,1920,3.25
12.057536,480,494,974,3.375
15.644384,17573,16657,34230,2.875
10.575139,269,247,516,3.25
8.0301991,38,64,102,3.625
10.5,114,114,228,4
8.033473,45,42,87,4
15.190504,987,946,1933,3.25
15.936937,1894,1891,3785,3
14.654029,2016,1957,3973,3.375
11.674491,193,193,386,3.75
8.6000004,105,89,194,2.375
12.344462,500,495,995,3.625
9.7256861,235,208,443,2.375
14.928974,3965,3796,7761,3.125
11.80867,459,417,876,3.125
8.4971094,79,68,147,3.375
11.710915,196,183,379,2.125
10.002759,375,318,693,3
9.8322229,457,371,828,3.25
13.738739,301,280,581,3.125
13.962852,812,697,1509,3
11.641631,701,680,1381,3.25
12.96354,430,389,819,4
9.5673876,57,55,112,3.6
14.273211,1114,1090,2204,3.125
15.735631,1233,1168,2401,2.875
10.656682,189,195,384,3.25
10.831607,188,174,362,3.25
14.339264,4153,3855,8008,3.125
8.916667,51,65,116,3.75
12.246542,473,450,923,2.75
15.155895,795,703,1498,3.125
14.475234,24614,22700,47314,3.75
14.345115,437,485,922,3.25
12.79687,230,218,448,3.125
12.13122,602,508,1110,3
9.4280605,122,113,235,2.625
15.077231,1292,1142,2434,3.125
12.211055,259,289,548,3.625
13.035355,486,471,957,3.5
12.034453,480,455,935,2
9.5483875,143,143,286,3
15.286237,5522,5332,10854,3.25
13.013617,562,544,1106,3.625
12.140664,217,206,423,2.5
10.779384,685,687,1372,3.625
8.3073082,84,59,143,3.375
12.315271,242,235,477,3
14.269089,1476,1377,2853,4
8.4101381,33,30,63,2.5
12.160264,763,726,1489,3.125
8.6415606,124,131,255,3.875
14.961326,6628,6400,13028,3.375
16.269571,4071,3701,7772,3.25
11.166667,310,297,607,4
10.324484,97,89,186,3.5
14.615584,2718,2519,5237,3
13.682461,436,406,842,2.875
10.252034,383,399,782,3
11.809851,498,510,1008,3
14.716324,1162,1056,2218,4
15.825368,7342,7178,14520,4
7.7705827,78,93,171,2
14.849921,99,69,168,3.2
11.874169,75,70,145,3.125
12.9582,1291,1136,2427,3.25
9.8419542,126,142,268,4
11.77825,361,325,686,3.375
16.59692,2162,1992,4154,3.375
13.679615,666,630,1296,3.125
10.291164,94,104,198,3.25
16.4156,1925,1636,3561,3.125
12.217195,260,259,519,3.25
12.56217,879,859,1738,3.5
15.561251,877,770,1647,3.25
11.354737,461,381,842,3.25
13.589489,1378,1367,2745,2.875
12.048193,111,110,221,3
9.5013275,206,137,343,2.5
10.779282,116,111,227,3.375
11.158621,408,386,794,3.375
9.5938005,202,167,369,2.875
11.796466,357,343,700,3.625
13.358338,984,873,1857,3
9.3348236,86,73,159,2.75
16.60479,3492,3163,6655,3.625
14.66763,750,711,1461,3.375
13.232218,741,686,1427,3.25
7.3139973,72,55,127,2.125
13.819178,1117,1040,2157,3.75
5.3842993,70,71,141,3.5
11.717329,262,205,467,2.875
13.654484,1748,1656,3404,3
12.052298,662,616,1278,3
12.060557,841,790,1631,3
12.020328,611,601,1212,2.875
11.019283,134,140,274,3.375
14.167434,83,66,149,3.5
11.75962,589,522,1111,2.625
10.272727,147,111,258,2.875
6.1241612,39,33,72,2.25
15.338022,1630,1520,3150,3.75
7.7294688,89,68,157,4
10.356537,263,257,520,3.25
9.9473686,95,112,207,3.25
15.990245,6607,6309,12916,3.375
15.976954,10946,10247,21193,3
14.191741,1683,1567,3250,3.5
9.5305834,108,84,192,3
13.952295,278,291,569,3
14.525197,1366,1416,2782,3.125
13.473186,477,460,937,3
13.223141,272,254,526,2.125
12.270804,534,556,1090,3.125
13.214051,427,424,851,3
11.365003,188,185,373,3.5
11.640572,273,258,531,2
13.205993,940,866,1806,2.75
14.528059,1890,1796,3686,3.25
14.324006,3461,3241,6702,3.375
11.902515,812,781,1593,3.75
10.138668,262,232,494,2.375
14.84401,2024,1921,3945,3.875
16.513243,29899,28362,58261,4
11.168831,134,135,269,3.125
16.023909,1550,1510,3060,3.75
12.606014,504,498,1002,3.375
15.131308,1224,1128,2352,3.25
15.101745,1846,1764,3610,3.75
10.576036,220,218,438,2.375
15.45379,2675,2538,5213,3.125
14.964005,18126,17032,35158,2.75
9.0965347,81,80,161,3.375
11.600669,220,212,432,2.142857143
14.957127,922,889,1811,2.428571429
14.425487,2438,2348,4786,2.5
12.162162,144,135,279,4
10.329114,93,100,193,3.142857143
15.910978,1586,1489,3075,3.25
14.258985,1138,1092,2230,3.25
16.332962,37712,35439,73151,3.375
12.329031,1334,1292,2626,3.125
7.9043159,73,78,151,2.625
9.9956541,126,159,285,2.75
6.9954128,68,58,126,2.625
14.324946,14181,13397,27578,3.875
11.126686,341,332,673,2.125
15.356515,1126,1100,2226,2.875
14.891491,1677,1479,3156,3.75
13.73341,1083,989,2072,3
13.397799,975,876,1851,2.125
12.523962,943,894,1837,3.875
11.751099,289,232,521,2.75
10.905282,512,452,964,3
12.735534,472,453,925,3.375
11.544038,321,304,625,3
11.345395,439,371,810,3.5
9.6123104,285,239,524,2.5
16.607887,3502,3300,6802,3.5
15.947372,1065,968,2033,3.375
9.7249508,144,149,293,3.5
13.090551,528,461,989,3.375
11.93566,364,325,689,3.125
14.252165,1908,1948,3856,4
12.86806,621,547,1168,3.5
14.917534,7185,6674,13859,3.25
12.4,59,51,110,3.75
11.207187,540,489,1029,3.375
16.655926,4682,4300,8982,2.875
14.344329,2921,2865,5786,3.625
16.258644,3975,3858,7833,3.375
13.443874,539,540,1079,2.125
12.818182,135,131,266,4
14.602475,2926,2736,5662,2.75
11.544775,327,312,639,2
14.427781,1894,1825,3719,3.625
11.583514,417,409,826,3.625
14.437799,1820,1839,3659,3.125
9.2158861,75,98,173,3.875
16.255836,980,853,1833,3.5
10.340531,138,146,284,3.75
14.600651,197,211,408,4
14.35451,421,407,828,3.25
10.438947,359,308,667,4
10.863095,223,196,419,3
12.12478,153,147,300,2.375
13.713378,787,824,1611,3.25
13.191985,1419,1301,2720,2.75
14.466619,2894,2704,5598,2.25
14.351573,2443,2414,4857,3.625
15.4675,3321,3202,6523,3.375
13.205003,551,509,1060,3.125
11.48869,554,475,1029,3.5
17.277481,7754,7381,15135,3.125
13.685847,40,45,85,2.5
8.9294519,174,171,345,3.625
11.442669,237,240,477,2.625
10.373444,151,145,296,3.5
12.336122,536,454,990,3.25
7.4803147,73,84,157,2.5
7.0270271,57,72,129,3.5
11.772727,115,132,247,2.5
14.494642,1571,1427,2998,4
16.498413,890,797,1687,2.25
15.157761,4731,4426,9157,3.5
13.515265,2267,2077,4344,2.625
13.898697,1148,1065,2213,3.875
11.723215,509,457,966,3.25
15.256477,26120,24446,50566,3.875
8.5365858,64,69,133,2.625
15.026315,12727,12071,24798,3.875
10.589812,144,123,267,2.875
11.589292,501,468,969,2
13.766319,1220,1204,2424,2.5
10.034532,253,228,481,3.75
9.4903879,149,161,310,3.875
15.719064,1141,1032,2173,2.5
10.657895,228,203,431,3.875
9.3993578,295,328,623,3.75
11.933353,809,791,1600,3.375
15.320397,12428,11814,24242,3.625
14.39476,1531,1482,3013,2.875
12.598425,602,537,1139,3.25
10.868195,259,247,506,2.375
12.669095,559,447,1006,2.75
9.6819296,132,130,262,2.125
13.836967,1737,1566,3303,3.5
14.591161,1958,1909,3867,3.75
12.703727,723,713,1436,3
16.196735,1150,1127,2277,2.5
10.512738,190,143,333,3.625
10.551908,238,227,465,3.25
16.280876,3052,2746,5798,3.625
6.7947836,52,61,113,3
16.378031,9875,9303,19178,3.375
14.716666,2047,1983,4030,2.75
10.186241,150,161,311,3
16.768528,11901,10944,22845,4
15.652011,17405,16281,33686,4
14.15091,2158,2012,4170,3.125
9.833333,62,44,106,3.5
14.974792,1693,1521,3214,3.25
14.114724,652,642,1294,4
16.470209,2398,2202,4600,3
11.545538,118,129,247,2.625
8.7640448,71,55,126,3.125
17.800035,16296,15605,31901,3.25
15.190026,2654,2384,5038,3.375
9.9302197,108,83,191,3.375
10.148925,87,75,162,2.5
14.892906,2146,1910,4056,3.625
8.2474222,62,53,115,3
12.840722,393,366,759,3.125
13.215156,800,755,1555,3
9.2266665,87,90,177,2.125
14.65641,1513,1364,2877,2.375
10.915223,358,386,744,3.125
13.15755,1684,1539,3223,3.75
14.540816,821,729,1550,3.875
14.346317,181,197,378,2.875
15.903296,5080,4642,9722,2.75
12.050513,581,546,1127,3
14.382908,1676,1734,3410,3
14.177396,2102,1955,4057,3
14.933869,899,867,1766,3.5
15.987928,20751,19829,40580,3.5
14.38905,661,704,1365,4
17.141464,2276,2203,4479,2.875
8.8688259,71,77,148,2.625
15.550296,6694,6557,13251,3.75
10.020987,104,86,190,3.125
11.085714,99,114,213,3
15.371747,11901,11409,23310,3.375
17.695337,1317,1225,2542,4
13.995506,5671,5336,11007,3.75
12.623274,723,662,1385,2.75
10.073452,97,80,177,3.142857143
13.13276,454,432,886,4
9.9331427,104,110,214,2.375
10.446281,184,160,344,2.5
8,45,40,85,4
15.429775,53875,50972,104847,3.75
8.2995949,67,60,127,3.25
12.51658,1458,1388,2846,3.75
10.954357,131,138,269,4
13.754422,795,764,1559,3
12.496376,233,242,475,3
14.350329,904,895,1799,2.125
13.907553,1807,1654,3461,3.125
9.6940975,140,99,239,3
16.406281,11473,10690,22163,3.75
12.245808,766,669,1435,2.75
16.021975,2967,2877,5844,3.875
14.807754,1202,1136,2338,2.75
12.186028,714,556,1270,2.75
15.565321,1997,1933,3930,3.75
12.830664,350,359,709,2
11.209302,124,111,235,3
13.086802,950,857,1807,4
